SerialNo,Date,DEP_STN_CD,ARR_STN_CD,OverallSat,CheckIn,Lounge,Depart,CabinEnv,IFE,FoodDrink
SN00000365177,2010-06,LHR,BCN,2,8,9,2,3,9,2
SN00000365192,2010-06,LHR,BCN,4,2,9,3,3,9,3
SN00000365193,2010-06,LHR,BCN,7,5,9,3,3,9,7
SN00000365194,2010-06,LHR,BCN,3,2,2,4,4,9,7
SN00000365195,2010-06,LHR,BCN,2,1,9,2,3,9,4
SN00000365199,2010-06,LHR,BCN,4,3,9,3,4,9,5
SN00000365200,2010-06,LHR,BCN,5,6,9,6,5,9,7
SN00000365201,2010-06,LHR,BCN,4,2,9,4,5,9,5
SN00000365203,2010-06,LHR,BCN,4,2,9,4,4,9,4
SN00000365204,2010-06,LHR,BCN,2,2,9,3,2,9,4
SN00000365205,2010-06,LHR,BCN,4,2,9,3,4,9,5
SN00000365207,2010-06,LHR,BCN,5,6,9,4,3,9,7
SN00000365209,2010-06,LHR,BCN,3,2,9,4,2,9,3
SN00000365210,2010-06,LHR,BCN,6,3,9,5,4,9,5
SN00000365212,2010-06,LHR,BCN,2,2,9,3,2,9,3
SN00000365227,2010-06,LHR,BCN,3,3,1,3,3,9,5
SN00000365229,2010-06,LHR,BCN,3,1,2,2,3,9,5
SN00000365231,2010-06,LHR,BCN,2,1,9,2,2,9,5
SN00000365237,2010-06,LHR,BCN,2,8,9,3,2,9,4
SN00000365242,2010-06,LHR,BCN,4,4,9,4,3,9,5
SN00000365244,2010-06,LHR,BCN,4,3,9,3,3,9,4
SN00000365246,2010-06,LHR,BCN,2,2,9,3,2,9,3
SN00000365249,2010-06,LHR,BCN,3,2,4,3,4,9,5
SN00000365269,2010-06,LHR,BCN,3,2,3,2,3,9,5
SN00000365270,2010-06,LHR,BCN,2,1,9,2,2,9,4
SN00000365271,2010-06,LHR,BCN,2,1,9,4,1,9,2
SN00000365273,2010-06,LHR,BCN,1,1,9,1,1,9,2
SN00000365274,2010-06,LHR,BCN,3,3,9,3,3,9,4
SN00000365277,2010-06,LHR,BCN,3,1,9,2,4,9,5
SN00000365283,2010-06,LHR,BCN,2,2,9,3,2,9,4
SN00000365292,2010-06,LHR,BCN,2,2,9,5,3,9,5
SN00000365186,2010-06,LHR,BCN,2,8,9,2,2,9,7
SN00000365213,2010-06,LHR,BCN,5,3,9,4,5,9,6
SN00000365214,2010-06,LHR,BCN,5,3,9,3,3,9,3
SN00000365215,2010-06,LHR,BCN,1,2,9,1,2,9,3
SN00000365216,2010-06,LHR,BCN,4,5,9,3,5,9,8
